City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
592,Tanete,ID,76.98,overcast clouds,-3.9443,119.7848,Wisma Tri Multi
595,Nata,PA,81.46,few clouds,8.3333,-80.5167,Rey David
602,Manta,EC,78.58,scattered clouds,-0.95,-80.7333,Balandra Hotel
606,Pontianak,ID,76.98,moderate rain,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
611,Uruguaiana,BR,75.13,overcast clouds,-29.7547,-57.0883,Fares Turis Hotel
613,Kununurra,AU,80.58,broken clouds,-15.7667,128.7333,Hotel Kununurra
617,Sarangani,PH,80.82,very heavy rain,5.4033,125.4636,Ballistic Islet
622,Palu,ID,75.31,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
627,West Melbourne,US,75.2,clear sky,28.0717,-80.6534,"Hilton Melbourne, FL"
636,Santa Isabel Do Rio Negro,BR,75.58,overcast clouds,-0.4139,-65.0192,Hotel GSA
643,Bac Lieu,VN,77.49,scattered clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
647,Waingapu,ID,79.3,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
649,Kalianget,ID,78.17,overcast clouds,-7.05,113.9333,Pesanggrahan Garam
650,Bonfim,BR,85.64,broken clouds,3.0833,-59.95,
659,Ambulu,ID,75.45,light rain,-8.345,113.6058,Hotel Ambulu Jember
660,Cabedelo,BR,83.07,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
662,Acapulco,MX,82.22,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
663,Kandrian,PG,80.22,overcast clouds,-6.2167,149.55,Kandrian Station
668,Maxixe,MZ,76.14,clear sky,-23.8597,35.3472,Oceano
670,Sinnamary,GF,76.66,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
677,Yurimaguas,PE,79.77,overcast clouds,-5.9,-76.0833,Rio Huallaga Hotel & Business Center
687,Hobyo,SO,75.96,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
689,Gladstone,AU,78.78,overcast clouds,-23.85,151.25,Highpoint International Hotel
691,Anloga,GH,80.94,clear sky,5.7947,0.8973,Pin Drop Hotel
692,Loandjili,CG,78.28,overcast clouds,-4.7561,11.8578,Résidence ARCHANGE
695,Gold Coast,AU,81.19,broken clouds,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
