City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
165,Kavieng,PG,2022-01-31 23:30:12,-2.5744,150.7967,80.87,79,100,7.58
166,Bambous Virieux,MU,2022-01-31 23:30:15,-20.3428,57.7575,80.22,78,75,14.97
167,Paracuru,BR,2022-01-31 23:30:17,-3.41,-39.0306,82.42,75,40,10.92
168,Muros,ES,2022-01-31 23:30:17,42.7762,-9.0603,51.1,75,5,14.43
169,Khatanga,RU,2022-01-31 23:30:18,71.9667,102.5,-29.13,100,42,2.82
170,Cherskiy,RU,2022-01-31 23:27:41,68.75,161.3,-11.0,92,100,4.54
171,Raudeberg,NO,2022-01-31 23:30:19,61.9875,5.1352,30.87,87,100,3.0
172,San Carlos De Bariloche,AR,2022-01-31 23:25:45,-41.1456,-71.3082,68.45,41,0,27.63
173,Bratsk,RU,2022-01-31 23:30:21,56.1325,101.6142,-10.66,100,99,1.72
174,Puerto Escondido,MX,2022-01-31 23:30:21,15.85,-97.0667,85.03,61,40,11.5
175,San Juan,AR,2022-01-31 23:30:22,-31.5375,-68.5364,85.62,23,1,7.45
176,Guasdualito,VE,2022-01-31 23:30:23,7.2424,-70.7324,87.76,45,0,3.44
177,Murgab,TM,2022-01-31 23:26:18,37.4966,61.9714,33.67,80,0,4.61
178,Winnemucca,US,2022-01-31 23:30:24,40.973,-117.7357,48.25,27,0,12.66
179,Santa Isabel Do Rio Negro,BR,2022-01-31 23:30:25,-0.4139,-65.0192,79.27,73,100,3.0
180,Nanortalik,GL,2022-01-31 23:26:41,60.1432,-45.2371,26.82,80,100,20.71
181,Keti Bandar,PK,2022-01-31 23:31:27,24.1447,67.4497,70.0,87,0,8.43
182,Westport,US,2022-01-31 23:31:28,41.1415,-73.3579,27.18,62,0,0.0
183,Ribeira Grande,PT,2022-01-31 23:27:05,38.5167,-28.7,60.01,74,15,15.14
184,Laureles,US,2022-01-31 23:31:29,26.1092,-97.4941,78.84,69,75,5.01
185,Vammala,FI,2022-01-31 23:31:30,61.3333,22.9,14.7,97,80,4.88
186,Moorhead,US,2022-01-31 23:26:55,46.8739,-96.7676,26.62,76,100,11.01
187,Nanakuli,US,2022-01-31 23:31:31,21.3906,-158.1547,80.55,55,0,10.36
188,Shimoda,JP,2022-01-31 23:31:32,34.6667,138.95,47.1,61,31,12.03
189,Fortuna,US,2022-01-31 23:31:33,40.5982,-124.1573,54.43,70,0,5.99
190,Saint-Augustin,CA,2022-01-31 23:26:33,51.226,-58.6502,1.98,97,82,5.48
191,Shira,RU,2022-01-31 23:31:34,54.4911,89.9531,-4.61,96,86,2.33
192,Pinega,RU,2022-01-31 23:31:35,64.7001,43.3936,1.98,99,100,3.18
193,Namibe,AO,2022-01-31 23:31:35,-15.1961,12.1522,71.87,74,97,8.52
194,Okhotsk,RU,2022-01-31 23:31:36,59.3833,143.3,7.29,75,92,17.13
195,Barrow,US,2022-01-31 23:30:03,71.2906,-156.7887,-12.98,77,20,10.36
196,Grand Gaube,MU,2022-01-31 23:31:37,-20.0064,57.6608,80.38,70,54,5.01
197,Constitucion,CL,2022-01-31 23:31:38,-35.3333,-72.4167,59.81,75,0,11.23
